seed,nside,scenario,level,method,A_add,A_mult,dA_add,dA_mult,bias_contaminated,bias_recovered,improvement
0,32,additive,low,OLS,0.0349212,0,0.0106806,0,0.357599,0.134284,2.66301
0,32,additive,low,ISD-1,0.0349212,0,0.0295669,0,0.357599,0.107632,3.32241
0,32,additive,low,ISD-3,0.0349212,0,0.0288364,0,0.357599,0.129198,2.76783
0,32,additive,low,ElasticNet,0.0349212,0,0.01084,0,0.357599,0.145285,2.46136
0,32,additive,low,MCMC-add,0.0349212,0,0.010697,0,0.357599,0.12233,2.92323
0,32,additive,low,MCMC-comb,0.0349212,0,0.0107475,0.162962,0.357599,0.784427,0.455873
0,32,multiplicative,low,OLS,0,0.0381863,0.00768066,0.0381863,0.121866,0.161884,0.752798
0,32,multiplicative,low,ISD-1,0,0.0381863,0,0.0381863,0.121866,0.121866,1
0,32,multiplicative,low,ISD-3,0,0.0381863,0,0.0381863,0.121866,0.121866,1
0,32,multiplicative,low,ElasticNet,0,0.0381863,0,0.0381863,0.121866,0.121866,1
0,32,multiplicative,low,MCMC-add,0,0.0381863,0.00766659,0.0381863,0.121866,0.101597,1.1995
0,32,multiplicative,low,MCMC-comb,0,0.0381863,0.00787214,0.149799,0.121866,0.802074,0.151938
0,32,combined,low,OLS,0.0349212,0.0381863,0.0108205,0.0381863,0.296374,0.172821,1.71492
0,32,combined,low,ISD-1,0.0349212,0.0381863,0.0295773,0.0381863,0.296374,0.0990786,2.99131
0,32,combined,low,ISD-3,0.0349212,0.0381863,0.0288736,0.0381863,0.296374,0.178747,1.65806
0,32,combined,low,ElasticNet,0.0349212,0.0381863,0.0109807,0.0381863,0.296374,0.172974,1.71341
0,32,combined,low,MCMC-add,0.0349212,0.0381863,0.0108369,0.0381863,0.296374,0.191661,1.54635
0,32,combined,low,MCMC-comb,0.0349212,0.0381863,0.0104336,0.156117,0.296374,0.728148,0.407025
0,32,additive,medium,OLS,0.0873031,0,0.0370469,0,2.25334,0.115002,19.5939
0,32,additive,medium,ISD-1,0.0873031,0,0.05374,0,2.25334,0.238367,9.45325
0,32,additive,medium,ISD-3,0.0873031,0,0.0538599,0,2.25334,0.110634,20.3675
0,32,additive,medium,ElasticNet,0.0873031,0,0.0374332,0,2.25334,0.107238,21.0125
0,32,additive,medium,MCMC-add,0.0873031,0,0.0370629,0,2.25334,0.192098,11.7302
0,32,additive,medium,MCMC-comb,0.0873031,0,0.0369739,0.177313,2.25334,0.679025,3.31849
0,32,multiplicative,medium,OLS,0,0.0954657,0.00748039,0.0954657,0.181268,0.187261,0.967997
0,32,multiplicative,medium,ISD-1,0,0.0954657,0,0.0954657,0.181268,0.181268,1
0,32,multiplicative,medium,ISD-3,0,0.0954657,0,0.0954657,0.181268,0.181268,1
0,32,multiplicative,medium,ElasticNet,0,0.0954657,0,0.0954657,0.181268,0.181268,1
0,32,multiplicative,medium,MCMC-add,0,0.0954657,0.00746691,0.0954657,0.181268,0.153203,1.18318
0,32,multiplicative,medium,MCMC-comb,0,0.0954657,0.00763288,0.125824,0.181268,0.649416,0.279124
0,32,combined,medium,OLS,0.0873031,0.0954657,0.0373977,0.0954657,2.15342,0.198888,10.8273
0,32,combined,medium,ISD-1,0.0873031,0.0954657,0.0534622,0.0954657,2.15342,0.144592,14.8931
0,32,combined,medium,ISD-3,0.0873031,0.0954657,0.0554062,0.0954657,2.15342,0.13795,15.6102
0,32,combined,medium,ElasticNet,0.0873031,0.0954657,0.0377859,0.0954657,2.15342,0.20868,10.3192
0,32,combined,medium,MCMC-add,0.0873031,0.0954657,0.0374136,0.0954657,2.15342,0.358195,6.01186
0,32,combined,medium,MCMC-comb,0.0873031,0.0954657,0.0362085,0.149024,2.15342,0.524441,4.10612
0,32,additive,high,OLS,0.174606,0,0.0806314,0,8.95504,0.266409,33.6139
0,32,additive,high,ISD-1,0.174606,0,0.106821,0,8.95504,1.34677,6.64926
0,32,additive,high,ISD-3,0.174606,0,0.102608,0,8.95504,0.963603,9.29328
0,32,additive,high,ElasticNet,0.174606,0,0.081394,0,8.95504,0.261098,34.2975
0,32,additive,high,MCMC-add,0.174606,0,0.0806471,0,8.95504,0.329455,27.1813
0,32,additive,high,MCMC-comb,0.174606,0,0.0806259,0.20542,8.95504,0.780803,11.469
0,32,multiplicative,high,OLS,0,0.190931,0.00717843,0.190931,0.213528,0.237064,0.900719
0,32,multiplicative,high,ISD-1,0,0.190931,0,0.190931,0.213528,0.213528,1
0,32,multiplicative,high,ISD-3,0,0.190931,0.00434279,0.190931,0.213528,0.255306,0.836361
0,32,multiplicative,high,ElasticNet,0,0.190931,0,0.190931,0.213528,0.213528,1
0,32,multiplicative,high,MCMC-add,0,0.190931,0.00716594,0.190931,0.213528,0.208399,1.02461
0,32,multiplicative,high,MCMC-comb,0,0.190931,0.00820595,0.0928602,0.213528,0.336398,0.634748
0,32,combined,high,OLS,0.174606,0.190931,0.0812752,0.190931,8.86626,0.232223,38.18
0,32,combined,high,ISD-1,0.174606,0.190931,0.102515,0.190931,8.86626,1.36561,6.49253
0,32,combined,high,ISD-3,0.174606,0.190931,0.10814,0.190931,8.86626,1.04644,8.47274
0,32,combined,high,ElasticNet,0.174606,0.190931,0.082041,0.190931,8.86626,0.220378,40.232
0,32,combined,high,MCMC-add,0.174606,0.190931,0.0812906,0.190931,8.86626,0.508949,17.4207
0,32,combined,high,MCMC-comb,0.174606,0.190931,0.0774792,0.191123,8.86626,0.576979,15.3667
0,64,additive,low,OLS,0.0358076,0,0.00440668,0,0.478052,0.297668,1.60599
0,64,additive,low,ISD-1,0.0358076,0,0.0321828,0,0.478052,0.211052,2.26509
0,64,additive,low,ISD-3,0.0358076,0,0.0305817,0,0.478052,0.26295,1.81803
0,64,additive,low,ElasticNet,0.0358076,0,0.00434618,0,0.478052,0.280001,1.70732
0,64,additive,low,MCMC-add,0.0358076,0,0.00440559,0,0.478052,0.109902,4.34978
0,64,additive,low,MCMC-comb,0.0358076,0,0.00425951,0.0330987,0.478052,0.602716,0.793162
0,64,multiplicative,low,OLS,0,0.038447,0.0195112,0.038447,0.36058,0.315119,1.14427
0,64,multiplicative,low,ISD-1,0,0.038447,0,0.038447,0.36058,0.36058,1
0,64,multiplicative,low,ISD-3,0,0.038447,0,0.038447,0.36058,0.36058,1
0,64,multiplicative,low,ElasticNet,0,0.038447,0.0163738,0.038447,0.36058,0.33123,1.08861
0,64,multiplicative,low,MCMC-add,0,0.038447,0.019533,0.038447,0.36058,0.115545,3.12068
0,64,multiplicative,low,MCMC-comb,0,0.038447,0.0196084,0.0139246,0.36058,0.633289,0.569376
