nside,log_mstar_min,method,n_footprint_pix,amp_norm,share_rotated_median,share_rotated_max,share_unrotated_median
32,9.0,ElasticNet,5612,0.0,,,
32,9.0,ISD-1,5612,0.0633,0.2755,0.3432,0.0
32,9.0,ISD-3,5612,0.0672,0.2548,0.3325,0.2463
32,9.0,MCMC-add,5612,0.2324,0.1987,0.285,7.8148
32,9.0,MCMC-comb,5612,0.202,0.1927,0.2686,5.5581
32,9.0,OLS,5612,0.2324,0.1986,0.2848,7.8235
32,9.5,ElasticNet,5611,0.1864,0.193,0.2729,8.253
32,9.5,ISD-1,5611,0.0478,0.2862,0.352,0.0
32,9.5,ISD-3,5611,0.054,0.2171,0.276,0.2438
32,9.5,MCMC-add,5611,0.2426,0.1852,0.2651,12.566
32,9.5,MCMC-comb,5611,0.1866,0.1164,0.1674,10.8344
32,9.5,OLS,5611,0.2427,0.185,0.2649,12.5754
32,10.0,ElasticNet,5616,0.0,,,
32,10.0,ISD-1,5616,0.0,,,
32,10.0,ISD-3,5616,0.0197,0.7213,1.3099,0.0
32,10.0,MCMC-add,5616,0.1292,0.239,0.3021,12.0501
32,10.0,MCMC-comb,5616,0.1113,0.2108,0.2574,18.5465
32,10.0,OLS,5616,0.1293,0.2388,0.3018,12.061
32,10.25,ElasticNet,5618,0.0137,0.3958,0.4404,0.4616
32,10.25,ISD-1,5618,0.0,,,
32,10.25,ISD-3,5618,0.0205,0.3356,0.5584,0.0
32,10.25,MCMC-add,5618,0.0991,0.2588,0.3198,6.0482
32,10.25,MCMC-comb,5618,0.0537,0.2672,0.3216,2.393
32,10.25,OLS,5618,0.0991,0.2585,0.3195,6.0554
32,10.5,ElasticNet,5617,0.0219,0.266,0.313,0.4181
32,10.5,ISD-1,5617,0.0297,0.3231,0.3857,0.0
32,10.5,ISD-3,5617,0.035,0.3092,0.373,0.0
32,10.5,MCMC-add,5617,0.1435,0.2241,0.283,9.5346
32,10.5,MCMC-comb,5617,0.0511,0.1751,0.2152,1.7905
32,10.5,OLS,5617,0.1435,0.2239,0.2828,9.5416
32,10.75,ElasticNet,5618,0.025,0.2516,0.2996,0.3947
32,10.75,ISD-1,5618,0.0309,0.319,0.3817,0.0
32,10.75,ISD-3,5618,0.0369,0.3048,0.3688,0.0
32,10.75,MCMC-add,5618,0.109,0.2417,0.299,5.155
32,10.75,MCMC-comb,5618,0.0609,0.1677,0.2173,2.0783
32,10.75,OLS,5618,0.109,0.2415,0.2988,5.1599
32,11.0,ElasticNet,5614,0.0226,0.2526,0.2959,0.5067
32,11.0,ISD-1,5614,0.0309,0.1917,0.2358,0.2274
32,11.0,ISD-3,5614,0.0333,0.3138,0.3765,0.0
32,11.0,MCMC-add,5614,0.1109,0.2462,0.3013,5.8113
32,11.0,MCMC-comb,5614,0.0513,0.1839,0.222,0.6744
32,11.0,OLS,5614,0.1109,0.2461,0.3011,5.817
32,11.25,ElasticNet,5609,0.0223,0.2474,0.2902,0.5044
32,11.25,ISD-1,5609,0.0275,0.3319,0.3931,0.0
32,11.25,ISD-3,5609,0.0318,0.3232,0.3869,0.0429
32,11.25,MCMC-add,5609,0.0867,0.2449,0.2989,3.3903
32,11.25,MCMC-comb,5609,0.0398,0.1748,0.2073,0.2925
32,11.25,OLS,5609,0.0868,0.2447,0.2986,3.3959
32,11.5,ElasticNet,5571,0.0222,0.2176,0.2406,0.392
32,11.5,ISD-1,5571,0.0261,0.2953,0.3753,0.2371
32,11.5,ISD-3,5571,0.0227,0.3309,0.4048,0.2382
32,11.5,MCMC-add,5571,0.0858,0.1973,0.2416,4.2373
32,11.5,MCMC-comb,5571,0.0714,0.2001,0.2377,1.8145
32,11.5,OLS,5571,0.0859,0.1969,0.2411,4.2463
64,9.0,ElasticNet,21563,0.0597,0.2087,0.2302,0.3375
64,9.0,ISD-1,21563,0.0556,0.3761,0.4127,0.3293
64,9.0,ISD-3,21563,0.0567,0.3634,0.3956,0.4465
64,9.0,MCMC-add,21563,0.1623,0.2254,0.2643,3.72
64,9.0,MCMC-comb,21563,0.1427,0.2989,0.3311,3.9629
64,9.0,OLS,21563,0.1624,0.2254,0.2644,3.7223
64,9.5,ElasticNet,21637,0.1229,0.166,0.1963,3.8081
64,9.5,ISD-1,21637,0.0353,0.2075,0.2298,0.2755
64,9.5,ISD-3,21637,0.0404,0.2724,0.2961,0.3348
64,9.5,MCMC-add,21637,0.1547,0.1614,0.197,6.4819
64,9.5,MCMC-comb,21637,0.1372,0.1953,0.2288,6.4787
64,9.5,OLS,21637,0.1547,0.1614,0.1971,6.484
64,10.0,ElasticNet,21667,0.034,0.2932,0.3159,0.1884
64,10.0,ISD-1,21667,0.0133,1.397,3.0202,0.0
64,10.0,ISD-3,21667,0.0148,0.6673,1.052,0.4178
64,10.0,MCMC-add,21667,0.061,0.2174,0.2457,3.1297
64,10.0,MCMC-comb,21667,0.0622,0.259,0.2898,3.8102
64,10.0,OLS,21667,0.061,0.2175,0.2459,3.1306
64,10.25,ElasticNet,21669,0.0262,0.323,0.3389,0.2774
64,10.25,ISD-1,21669,0.013,1.3352,2.9213,0.0
64,10.25,ISD-3,21669,0.0142,1.6316,3.4299,0.0
64,10.25,MCMC-add,21669,0.0461,0.2925,0.3161,1.1953
64,10.25,MCMC-comb,21669,0.0244,0.3097,0.3191,0.2684
64,10.25,OLS,21669,0.0461,0.2926,0.3163,1.1963
64,10.5,ElasticNet,21675,0.0189,0.3483,0.36,0.4969
64,10.5,ISD-1,21675,0.0211,0.063,0.0865,0.2828
64,10.5,ISD-3,21675,0.0138,2.4941,7.7232,0.0
64,10.5,MCMC-add,21675,0.0654,0.3153,0.3395,2.9289
64,10.5,MCMC-comb,21675,0.0505,0.3089,0.327,1.8068
64,10.5,OLS,21675,0.0654,0.3154,0.3396,2.9297
64,10.75,ElasticNet,21662,0.02,0.312,0.3234,0.5817
64,10.75,ISD-1,21662,0.0234,0.0952,0.1186,0.2613
64,10.75,ISD-3,21662,0.0207,0.0219,0.0643,0.2742
64,10.75,MCMC-add,21662,0.0552,0.2965,0.3125,1.2044
64,10.75,MCMC-comb,21662,0.0415,0.2832,0.2939,0.3438
64,10.75,OLS,21662,0.0552,0.2966,0.3127,1.2051
64,11.0,ElasticNet,21646,0.0226,0.2571,0.2726,0.5259
64,11.0,ISD-1,21646,0.0261,0.0878,0.0971,0.3995
64,11.0,ISD-3,21646,0.023,0.9171,1.1108,0.1448
64,11.0,MCMC-add,21646,0.0505,0.2518,0.2678,0.5362
64,11.0,MCMC-comb,21646,0.0363,0.2662,0.2831,0.2925
64,11.0,OLS,21646,0.0505,0.252,0.2679,0.5369
64,11.25,ElasticNet,21555,0.0239,0.1771,0.2028,0.5901
64,11.25,ISD-1,21555,0.0263,0.0487,0.1319,0.4025
64,11.25,ISD-3,21555,0.0248,0.5191,0.6258,0.2181
64,11.25,MCMC-add,21555,0.0559,0.1891,0.2231,0.0444
64,11.25,MCMC-comb,21555,0.0458,0.1867,0.2155,0.2908
64,11.25,OLS,21555,0.0559,0.1893,0.2232,0.0437
64,11.5,ElasticNet,21344,0.023,0.1266,0.1965,0.6992
64,11.5,ISD-1,21344,0.0245,0.1461,0.2135,0.4072
64,11.5,ISD-3,21344,0.0286,0.1254,0.2627,0.1957
64,11.5,MCMC-add,21344,0.0683,0.1218,0.1808,1.1213
64,11.5,MCMC-comb,21344,0.0709,0.1045,0.1867,2.615
64,11.5,OLS,21344,0.0684,0.1221,0.1808,1.1239
