log_mstar_min,nside,nbar_data,sigma_hat_data,sigma_clus_data,sigma_hat_powerlaw,sigma_clus_powerlaw,sigma_hat_matched,sigma_clus_matched,large_scale_ratio,tol,ell_min,ell_max,rp_min_mpch,rp_max_mpch,n_seeds,density_ratio_err,passed,match_tag
9.0,32,96.6,0.5474,0.5379,0.1099,0.0368,0.5202,0.5097,1.0156,0.1,31,63,10.0,20.3,8,0.0196,True,20260907m
9.5,32,264.5,0.4708,0.4668,0.0722,0.036,0.4401,0.4356,1.0165,0.1,45,64,13.9,20.0,8,0.0167,True,20260906m
10.0,32,509.4,0.3801,0.3775,0.0575,0.0356,0.352,0.349,0.9971,0.1,57,64,20.0,22.5,8,0.0157,True,20260906m
10.25,32,610.9,0.3417,0.3393,0.0542,0.0352,0.3174,0.3147,1.0196,0.1,16,64,24.1,96.5,8,0.016,True,20260906m
10.5,32,602.5,0.3238,0.3213,0.0548,0.0358,0.3002,0.2973,1.015,0.1,16,64,28.1,112.5,8,0.0147,True,20260906m
10.75,32,517.4,0.3057,0.3025,0.0571,0.0355,0.2811,0.2775,1.0174,0.1,16,64,33.2,132.6,8,0.0137,True,20260906m
11.0,32,299.1,0.2971,0.2914,0.0689,0.0358,0.2742,0.2678,1.0115,0.1,16,64,36.6,146.5,8,0.0131,True,20260906m
11.25,32,100.0,0.3308,0.3154,0.1082,0.037,0.3049,0.2874,1.0056,0.1,16,64,37.0,147.9,8,0.013,True,20260906m
11.5,32,22.3,0.4451,0.3916,0.2175,0.0353,0.4097,0.3486,1.0173,0.1,16,64,37.6,150.5,8,0.0157,True,20260906m
9.0,64,24.2,0.676,0.6446,0.2074,0.0424,0.6398,0.6064,0.9716,0.1,31,126,5.0,20.0,8,0.0197,True,20260906m
9.5,64,66.1,0.5239,0.5093,0.1301,0.0425,0.4871,0.4712,0.9273,0.1,45,89,10.0,19.8,8,0.017,True,20260907m
10.0,64,127.4,0.3969,0.3869,0.0987,0.0433,0.3804,0.3699,1.0161,0.1,64,128,10.0,20.0,8,0.0152,True,20260906m
10.25,64,152.7,0.3434,0.3337,0.092,0.0438,0.3301,0.3199,0.9965,0.1,77,128,12.1,20.0,8,0.0147,True,20260906m
10.5,64,150.6,0.3089,0.298,0.0924,0.0434,0.2922,0.2804,0.9502,0.1,90,128,14.1,20.0,8,0.0149,True,20260906m
10.75,64,129.4,0.2831,0.2691,0.0982,0.0438,0.2661,0.251,0.9565,0.1,106,128,16.6,20.0,8,0.0146,True,20260906m
11.0,64,74.8,0.2974,0.274,0.1237,0.0439,0.2812,0.2561,0.9121,0.1,117,128,18.3,20.0,8,0.0138,True,20260906m
11.25,64,25.0,0.3842,0.3281,0.2036,0.0405,0.3667,0.3071,0.9618,0.1,118,128,18.5,20.0,8,0.0136,True,20260906m
11.5,64,5.6,0.6438,0.4851,,,,,,,,,,,,,,
