nside,n_sys,n_pix,n_real,n_mean,sigma_clus,regime,cl_slope,kappa_per_template_median,kappa_per_template_max,kappa_field,fpr3_per_template,fpr3_any_template,sigma_emp_median,sigma_iid_median,cell
32,3,5954,2000,127,0,shot-only,0,1.00921,1.01042,1.00497,0.0025,0.0075,0.0014058,0.00141527,ns32_slope1.0_sc0.2
32,5,5954,2000,127,0,shot-only,0,1.02068,1.02929,1.01643,0.003,0.0145,0.00130719,0.00129176,ns32_slope1.0_sc0.2
32,7,5954,2000,127,0,shot-only,0,1.01161,1.02854,1.01547,0.00278571,0.0175,0.00136669,0.00133143,ns32_slope1.0_sc0.2
32,9,5954,2000,127,0,shot-only,0,1.0014,1.02117,1.00055,0.00227778,0.0195,0.00148085,0.00146132,ns32_slope1.0_sc0.2
32,11,5954,2000,127,0,shot-only,0,1.01406,1.03224,1.00556,0.00281818,0.0245,0.00201023,0.00194745,ns32_slope1.0_sc0.2
32,3,5954,2000,127,0.2,clustered,1,2.86077,2.86217,2.78574,0.2555,0.554,0.0100454,0.00350972,ns32_slope1.0_sc0.2
32,5,5954,2000,127,0.2,clustered,1,2.23996,2.87121,2.48355,0.1931,0.6315,0.00681224,0.00320148,ns32_slope1.0_sc0.2
32,7,5954,2000,127,0.2,clustered,1,2.20258,2.88745,2.43726,0.178714,0.672,0.00672008,0.00329764,ns32_slope1.0_sc0.2
32,9,5954,2000,127,0.2,clustered,1,1.70035,2.9001,2.24511,0.145,0.6775,0.00665916,0.00362005,ns32_slope1.0_sc0.2
32,11,5954,2000,127,0.2,clustered,1,1.68454,2.81836,2.09145,0.117364,0.6905,0.00812707,0.0048245,ns32_slope1.0_sc0.2
32,3,5954,2000,127,0,shot-only,0,1.0096,1.04004,1.00916,0.00233333,0.007,0.00142903,0.00141544,ns32_slope1.0_sc0.4
32,5,5954,2000,127,0,shot-only,0,1.00459,1.00639,0.988739,0.0018,0.008,0.00129725,0.00129132,ns32_slope1.0_sc0.4
32,7,5954,2000,127,0,shot-only,0,0.997284,1.01574,1.00051,0.00257143,0.016,0.00133267,0.00133125,ns32_slope1.0_sc0.4
32,9,5954,2000,127,0,shot-only,0,0.996431,1.02608,1.00382,0.00244444,0.0195,0.00145091,0.00146202,ns32_slope1.0_sc0.4
32,11,5954,2000,127,0,shot-only,0,1.00157,1.03061,1.0052,0.00268182,0.0275,0.00190924,0.00194753,ns32_slope1.0_sc0.4
32,3,5954,2000,127,0.4,clustered,1,2.89945,2.90842,2.86526,0.2775,0.605,0.0196612,0.006781,ns32_slope1.0_sc0.4
32,5,5954,2000,127,0.4,clustered,1,2.29988,3.00989,2.56899,0.2061,0.6675,0.0135075,0.00618259,ns32_slope1.0_sc0.4
32,7,5954,2000,127,0.4,clustered,1,2.32574,2.95254,2.51864,0.193286,0.714,0.0136821,0.00635844,ns32_slope1.0_sc0.4
32,9,5954,2000,127,0.4,clustered,1,1.72807,2.97247,2.33856,0.155944,0.7305,0.0135815,0.00698856,ns32_slope1.0_sc0.4
32,11,5954,2000,127,0.4,clustered,1,1.70201,2.85701,2.13732,0.124273,0.7215,0.0161054,0.00930657,ns32_slope1.0_sc0.4
32,3,5954,2000,127,0,shot-only,0,1.01973,1.02291,1.01572,0.00366667,0.011,0.0014436,0.00141566,ns32_slope1.5_sc0.2
32,5,5954,2000,127,0,shot-only,0,1.01426,1.02531,1.01736,0.0022,0.011,0.00130574,0.0012918,ns32_slope1.5_sc0.2
32,7,5954,2000,127,0,shot-only,0,1.0026,1.00655,1.00089,0.00192857,0.0125,0.00133677,0.00133072,ns32_slope1.5_sc0.2
32,9,5954,2000,127,0,shot-only,0,1.01324,1.03162,1.00625,0.00322222,0.0245,0.00148486,0.00146164,ns32_slope1.5_sc0.2
32,11,5954,2000,127,0,shot-only,0,0.993917,1.01983,0.998527,0.00227273,0.023,0.00196076,0.00194796,ns32_slope1.5_sc0.2
32,3,5954,2000,127,0.2,clustered,1.5,4.59899,4.70111,4.62945,0.494,0.866,0.0160673,0.00349367,ns32_slope1.5_sc0.2
32,5,5954,2000,127,0.2,clustered,1.5,3.63708,4.68957,4.05084,0.3946,0.9235,0.0110131,0.00318757,ns32_slope1.5_sc0.2
32,7,5954,2000,127,0.2,clustered,1.5,3.67345,4.88004,3.9728,0.365429,0.9395,0.011133,0.00327565,ns32_slope1.5_sc0.2
32,9,5954,2000,127,0.2,clustered,1.5,2.34104,5.02483,3.63038,0.289556,0.9275,0.0107006,0.00359244,ns32_slope1.5_sc0.2
32,11,5954,2000,127,0.2,clustered,1.5,2.34026,4.79158,3.33289,0.243,0.9275,0.010898,0.00478747,ns32_slope1.5_sc0.2
32,3,5954,2000,127,0,shot-only,0,1.00204,1.00491,0.992787,0.003,0.008,0.00141684,0.00141516,ns32_slope1.5_sc0.4
32,5,5954,2000,127,0,shot-only,0,0.999725,1.01758,1.00343,0.0026,0.012,0.00128227,0.00129162,ns32_slope1.5_sc0.4
32,7,5954,2000,127,0,shot-only,0,1.00933,1.02854,1.00308,0.00271429,0.017,0.00136936,0.00133136,ns32_slope1.5_sc0.4
