survey,sample,nside,n_pix,n_gal,nbar,fsky,sigma_hat,neff_over_ngal,regime,Amin_3sig,Amin_5sig,Amin_shot_3sig,top_template,top_snr_iid
LS10,logM>=9.0,64,21563,523486,24.28,0.4387,0.6761,0.0901,clustering-limited,1.381e-02,2.302e-02,4.146e-03,LS10_GALDEPTH_R,10.99
LS10,logM>=9.5,64,21637,1432502,66.21,0.4402,0.5240,0.0550,clustering-limited,1.069e-02,1.781e-02,2.507e-03,LS10_GALDEPTH_R,12.46
LS10,logM>=10.0,64,21667,2759238,127.35,0.4408,0.3970,0.0498,clustering-limited,8.091e-03,1.348e-02,1.806e-03,LS10_GALDEPTH_R,6.78
LS10,logM>=10.25,64,21669,3308841,152.70,0.4409,0.3434,0.0555,clustering-limited,6.999e-03,1.166e-02,1.649e-03,LS10_GALDEPTH_R,4.96
LS10,logM>=10.5,64,21675,3263228,150.55,0.4410,0.3090,0.0696,clustering-limited,6.296e-03,1.049e-02,1.661e-03,GAIA_nstar_medium,5.60
LS10,logM>=10.75,64,21662,2802710,129.38,0.4407,0.2831,0.0964,clustering-limited,5.771e-03,9.619e-03,1.792e-03,GAIA_nstar_medium,4.96
LS10,logM>=11.0,64,21646,1619838,74.83,0.4404,0.2974,0.1511,clustering-limited,6.064e-03,1.011e-02,2.357e-03,GAIA_phot_rp_mean_flux,4.15
LS10,logM>=11.25,64,21555,541855,25.14,0.4385,0.3843,0.2693,clustering-limited,7.853e-03,1.309e-02,4.075e-03,GAIA_phot_g_mean_flux,4.09
LS10,logM>=11.5,64,21344,120882,5.66,0.4342,0.6449,0.4246,clustering-limited,1.324e-02,2.207e-02,8.629e-03,LS10_GALDEPTH_G,3.59
LS10,logM>=10.0,32,5616,2759238,491.32,0.4570,0.3805,0.0141,clustering-limited,1.523e-02,2.539e-02,1.806e-03,GAIA_nstar_medium,3.71
LS10,logM>=10.0,128,84860,2759238,32.52,0.4316,0.5606,0.0979,clustering-limited,5.773e-03,9.622e-03,1.806e-03,LS10_GALDEPTH_R,9.51
