mock_id,n_galaxies,n_good_pix,a_hat,b_hat,var_a,var_b,lrt_lambda,lrt_p,lrt_reject,per_method,a_true,a_bias,b_true,b_bias
0,249150,8064,"[0.025120195003616327, -0.11103869942543941, 0.09906048378514742]","[0.05900693054049032, -0.18614167243207702, -0.040342421185092056]","[3.926062552632494e-05, 2.9391468845013462e-05, 3.95375795814915e-05]","[4.8658716549179984e-05, 2.9382481711095645e-05, 6.451981326130597e-05]",724.4921875423042,1.025830268976154e-156,True,"{'OLS': {'a_hat': [0.02767554559552584, -0.10797299434471194, 0.10906052470520065], 'b_hat': [0.0, 0.0, 0.0], 'sigma_hat': None, 'elapsed_s': 0.0023588540007040137, 'a_bias': [-0.002796162379917297, -0.003974583720662381, 0.03401540512455492], 'b_bias': [-0.0940564716391214, 0.19510351886538366, 0.13021795068623182]}, 'ElasticNet': {'a_hat': [0.027562241852396967, -0.10785411422719492, 0.10893719608574112], 'b_hat': [0.0, 0.0, 0.0], 'sigma_hat': None, 'elapsed_s': 2.2300797260013496, 'a_bias': [-0.00290946612304617, -0.003855703603145355, 0.03389207650509539], 'b_bias': [-0.0940564716391214, 0.19510351886538366, 0.13021795068623182]}, 'ISD-1': {'a_hat': [0.027171038576514966, -0.10807166030284354, 0.11148746813621298], 'b_hat': [0.0, 0.0, 0.0], 'sigma_hat': None, 'elapsed_s': 0.029478381000444642, 'a_bias': [-0.003300669398928171, -0.00407324967879398, 0.036442348555567244], 'b_bias': [-0.0940564716391214, 0.19510351886538366, 0.13021795068623182]}, 'ISD-3': {'a_hat': [0.03308583456630469, -0.116506485313418, 0.11615660428410676], 'b_hat': [0.0, 0.0, 0.0], 'sigma_hat': None, 'elapsed_s': 0.36570065100022475, 'a_bias': [0.0026141265908615555, -0.012508074689368445, 0.04111148470346103], 'b_bias': [-0.0940564716391214, 0.19510351886538366, 0.13021795068623182]}, 'MCMC-add': {'a_hat': [0.02781681811948118, -0.1083051874057402, 0.1091481268882752], 'b_hat': [0.0, 0.0, 0.0], 'sigma_hat': 0.610138825791789, 'elapsed_s': 54.71308056199996, 'a_bias': [-0.002654889855961958, -0.004306776781690641, 0.03410300730762947], 'b_bias': [-0.0940564716391214, 0.19510351886538366, 0.13021795068623182]}, 'MCMC-comb': {'a_hat': [0.025120195003616327, -0.11103869942543941, 0.09906048378514742], 'b_hat': [0.05900693054049032, -0.18614167243207702, -0.040342421185092056], 'sigma_hat': 0.5950255912096294, 'elapsed_s': 61.49679982199996, 'a_bias': [-0.005351512971826809, -0.007040288801389849, 0.02401536420450169], 'b_bias': [-0.03504954109863108, 0.008961846433306636, 0.08987552950113976]}}","[0.030471707975443137, -0.10399841062404956, 0.07504511958064573]","[-0.005351512971826809, -0.007040288801389849, 0.02401536420450169]","[0.0940564716391214, -0.19510351886538366, -0.13021795068623182]","[-0.03504954109863108, 0.008961846433306636, 0.08987552950113976]"
1,234117,8064,"[0.03588000732099436, -0.034818002370408996, -0.045405474153589136]","[-0.05935013959115334, 0.03454697544952137, 0.061748650636709694]","[4.3110228759722894e-05, 3.5983764559433536e-05, 3.9772107458801424e-05]","[6.571737985263445e-05, 6.0455546002251336e-05, 4.580283693011629e-05]",138.58793468606382,7.619309311181989e-30,True,"{'OLS': {'a_hat': [0.036996228765934704, -0.03483316337442474, -0.0395218178713426], 'b_hat': [0.0, 0.0, 0.0], 'sigma_hat': None, 'elapsed_s': 0.0015860639996390091, 'a_bias': [0.024212188449206168, -0.0032089041400665194, -0.03784170212091372], 'b_bias': [0.08530439275735802, -0.08793979748628286, -0.07777919354289484]}, 'ElasticNet': {'a_hat': [0.03625272182148244, -0.03411202162735366, -0.03875159346217871], 'b_hat': [0.0, 0.0, 0.0], 'sigma_hat': None, 'elapsed_s': 0.7116041489989584, 'a_bias': [0.023468681504753904, -0.0024877623929954393, -0.03707147771174983], 'b_bias': [0.08530439275735802, -0.08793979748628286, -0.07777919354289484]}, 'ISD-1': {'a_hat': [0.03737689666633732, -0.034802247627228264, -0.03769070305012997], 'b_hat': [0.0, 0.0, 0.0], 'sigma_hat': None, 'elapsed_s': 0.021443066998472204, 'a_bias': [0.024592856349608783, -0.0031779883928700417, -0.03601058729970109], 'b_bias': [0.08530439275735802, -0.08793979748628286, -0.07777919354289484]}, 'ISD-3': {'a_hat': [0.027988901510237606, -0.04435157817851165, -0.0015133589290536645], 'b_hat': [0.0, 0.0, 0.0], 'sigma_hat': None, 'elapsed_s': 0.09422669000014139, 'a_bias': [0.015204861193509068, -0.01272731894415343, 0.00016675682137521513], 'b_bias': [0.08530439275735802, -0.08793979748628286, -0.07777919354289484]}, 'MCMC-add': {'a_hat': [0.03713284001710138, -0.035044063712894216, -0.03952511887918584], 'b_hat': [0.0, 0.0, 0.0], 'sigma_hat': 0.5748629615087759, 'elapsed_s': 75.99340694500097, 'a_bias': [0.024348799700372847, -0.003419804478535994, -0.03784500312875696], 'b_bias': [0.08530439275735802, -0.08793979748628286, -0.07777919354289484]}, 'MCMC-comb': {'a_hat': [0.03588000732099436, -0.034818002370408996, -0.045405474153589136], 'b_hat': [-0.05935013959115334, 0.03454697544952137, 0.061748650636709694], 'sigma_hat': 0.5726974579424517, 'elapsed_s': 82.37775615200007, 'a_bias': [0.023095967004265826, -0.0031937431360507737, -0.043725358403160254], 'b_bias': [0.02595425316620468, -0.05339282203676149, -0.016030542906185143]}}","[0.012784040316728537, -0.03162425923435822, -0.0016801157504288797]","[0.023095967004265826, -0.0031937431360507737, -0.043725358403160254]","[-0.08530439275735802, 0.08793979748628286, 0.07777919354289484]","[0.02595425316620468, -0.05339282203676149, -0.016030542906185143]"
2,233183,8064,"[0.004375646353489295, 0.11232647810319328, 0.03180186696729783]","[-0.0769317538391555, 0.04861323973327017, -0.10619380412345968]","[3.546336912095879e-05, 3.806442445808319e-05, 3.739337085148984e-05]","[6.098933853470662e-05, 5.9610248338824975e-05, 7.344600767315863e-05]",289.45210641809535,1.9076329937943318e-62,True,"{'OLS': {'a_hat': [0.00543902295914552, 0.11486955196283571, 0.035241766790603805], 'b_hat': [0.0, 0.0, 0.0], 'sigma_hat': None, 'elapsed_s': 0.0006470130010711728, 'a_bias': [-0.0011640467969760851, 0.0021454312660324215, -0.011509167434600759], 'b_bias': [0.08592924628832382, -0.036875078408249884, 0.0958882600828999]}, 'ElasticNet': {'a_hat': [0.003989655532420275, 0.11326674090873469, 0.0337222529178578], 'b_hat': [0.0, 0.0, 0.0], 'sigma_hat': None, 'elapsed_s': 0.28727480199995625, 'a_bias': [-0.0026134142237013297, 0.0005426202119313966, -0.013028681307346766], 'b_bias': [0.08592924628832382, -0.036875078408249884, 0.0958882600828999]}, 'ISD-1': {'a_hat': [0.006112108352285788, 0.1145443236326996, 0.03598750860420393], 'b_hat': [0.0, 0.0, 0.0], 'sigma_hat': None, 'elapsed_s': 0.006537081000715261, 'a_bias': [-0.000490961403835817, 0.0018202029358963118, -0.010763425621000633], 'b_bias': [0.08592924628832382, -0.036875078408249884, 0.0958882600828999]}, 'ISD-3': {'a_hat': [-0.018269319012016724, 0.13370210299129123, 0.06211262419809502], 'b_hat': [0.0, 0.0, 0.0], 'sigma_hat': None, 'elapsed_s': 0.06325203200140095, 'a_bias': [-0.02487238876813833, 0.02097798229448794, 0.015361689972890454], 'b_bias': [0.08592924628832382, -0.036875078408249884, 0.0958882600828999]}, 'MCMC-add': {'a_hat': [0.005466001578591608, 0.1149978359586443, 0.03564136297651746], 'b_hat': [0.0, 0.0, 0.0], 'sigma_hat': 0.5654260262861326, 'elapsed_s': 103.83043315400027, 'a_bias': [-0.0011370681775299974, 0.002273715261841003, -0.011109571248687104], 'b_bias': [0.08592924628832382, -0.036875078408249884, 0.0958882600828999]}, 'MCMC-comb': {'a_hat': [0.004375646353489295, 0.11232647810319328, 0.03180186696729783], 'b_hat': [-0.0769317538391555, 0.04861323973327017, -0.10619380412345968], 'sigma_hat': 0.5611706406868309, 'elapsed_s': 107.75948032700035, 'a_bias': [-0.0022274234026323104, -0.000397642593610012, -0.014949067257906734], 'b_bias': [0.008997492449168323, 0.011738161325020285, -0.010305544040559778]}}","[0.006603069756121605, 0.11272412069680329, 0.046750934225204564]","[-0.0022274234026323104, -0.000397642593610012, -0.014949067257906734]","[-0.08592924628832382, 0.036875078408249884, -0.0958882600828999]","[0.008997492449168323, 0.011738161325020285, -0.010305544040559778]"
3,241225,8064,"[0.08365739893924524, -0.009137875345689899, -0.015539529090486313]","[-0.07391289785424984, 0.10829932782776606, 0.0050986916019488395]","[3.21837005427191e-05, 3.220640357101644e-05, 3.450880679594354e-05]","[6.302618339266931e-05, 5.019562929653622e-05, 7.006507942911221e-05]",290.3782330413469,1.20248016003075e-62,True,"{'OLS': {'a_hat': [0.0825533422273221, -0.0072632144388552035, -0.013055927293197492], 'b_hat': [0.0, 0.0, 0.0], 'sigma_hat': None, 'elapsed_s': 0.00047468199954892043, 'a_bias': [-0.0052916879034051595, -0.002270623340229914, 0.005430309061328565], 'b_bias': [0.06809295444039414, -0.12225413386740303, 0.015452948206880215]}, 'ElasticNet': {'a_hat': [0.0659695057028916, -0.0, -0.0], 'b_hat': [0.0, 0.0, 0.0], 'sigma_hat': None, 'elapsed_s': 0.2186684560001595, 'a_bias': [-0.02187552442783565, 0.00499259109862529, 0.018486236354526057], 'b_bias': [0.06809295444039414, -0.12225413386740303, 0.015452948206880215]}, 'ISD-1': {'a_hat': [0.08256228020779416, -0.006993335551418463, -0.013118840310870492], 'b_hat': [0.0, 0.0, 0.0], 'sigma_hat': None, 'elapsed_s': 0.006226438999874517, 'a_bias': [-0.005282749922933094, -0.0020007444527931732, 0.005367396043655565], 'b_bias': [0.06809295444039414, -0.12225413386740303, 0.015452948206880215]}, 'ISD-3': {'a_hat': [0.07424385560129351, -0.0005287270073845315, -0.015141454923615546], 'b_hat': [0.0, 0.0, 0.0], 'sigma_hat': None, 'elapsed_s': 0.044813683998654597, 'a_bias': [-0.01360117452943374, 0.004463864091240758, 0.003344781430910512], 'b_bias': [0.06809295444039414, -0.12225413386740303, 0.015452948206880215]}, 'MCMC-add': {'a_hat': [0.0825904286299705, -0.007339260424916585, -0.012787829303896913], 'b_hat': [0.0, 0.0, 0.0], 'sigma_hat': 0.5345332517543757, 'elapsed_s': 86.11565644700022, 'a_bias': [-0.005254601500756753, -0.002346669326291295, 0.005698407050629144], 'b_bias': [0.06809295444039414, -0.12225413386740303, 0.015452948206880215]}, 'MCMC-comb': {'a_hat': [0.08365739893924524, -0.009137875345689899, -0.015539529090486313], 'b_hat': [-0.07391289785424984, 0.10829932782776606, 0.0050986916019488395], 'sigma_hat': 0.5304506363154485, 'elapsed_s': 95.8896808240006, 'a_bias': [-0.004187631191482008, -0.004145284247064609, 0.0029467072640397447], 'b_bias': [-0.005819943413855708, -0.01395480603963696, 0.020551639808829056]}}","[0.08784503013072725, -0.00499259109862529, -0.018486236354526057]","[-0.004187631191482008, -0.004145284247064609, 0.0029467072640397447]","[-0.06809295444039414, 0.12225413386740303, -0.015452948206880215]","[-0.005819943413855708, -0.01395480603963696, 0.020551639808829056]"
4,237000,8064,"[-0.03441071289766038, -0.025936062090843523, 0.08651918844505518]","[0.05497884465043039, 0.07797308771902853, 0.05983411646396132]","[3.857590360373616e-05, 3.985559219685096e-05, 3.8086220118605866e-05]","[5.935346830309088e-05, 5.2459986839992224e-05, 5.990571603601979e-05]",214.7289471317181,2.767550272553987e-46,True,"{'OLS': {'a_hat': [-0.03626579507450374, -0.026484644800922358, 0.08722654261063228], 'b_hat': [0.0, 0.0, 0.0], 'sigma_hat': None, 'elapsed_s': 0.006673605001196847, 'a_bias': [0.006566987141806986, 0.008728710247900603, 0.03399562405529741], 'b_bias': [-0.036544406436407835, -0.04127326115959884, -0.043082100300788274]}, 'ElasticNet': {'a_hat': [-0.035870630700816204, -0.02611530655761718, 0.08681659977566723], 'b_hat': [0.0, 0.0, 0.0], 'sigma_hat': None, 'elapsed_s': 0.34485013100129436, 'a_bias': [0.006962151515494522, 0.009098048491205782, 0.033585681220332356], 'b_bias': [-0.036544406436407835, -0.04127326115959884, -0.043082100300788274]}, 'ISD-1': {'a_hat': [-0.03660184706018746, -0.027181367976958012, 0.08695132629903285], 'b_hat': [0.0, 0.0, 0.0], 'sigma_hat': None, 'elapsed_s': 0.005042962999141309, 'a_bias': [0.006230935156123267, 0.008031987071864949, 0.03372040774369797], 'b_bias': [-0.036544406436407835, -0.04127326115959884, -0.043082100300788274]}, 'ISD-3': {'a_hat': [-0.041869895204162434, -0.021504787816924435, 0.11056030542244957], 'b_hat': [0.0, 0.0, 0.0], 'sigma_hat': None, 'elapsed_s': 0.07016716600082873, 'a_bias': [0.0009628870121482919, 0.013708567231898526, 0.057329386867114696], 'b_bias': [-0.036544406436407835, -0.04127326115959884, -0.043082100300788274]}, 'MCMC-add': {'a_hat': [-0.035851493648647356, -0.02640658839661865, 0.08750043719571578], 'b_hat': [0.0, 0.0, 0.0], 'sigma_hat': 0.5797434487649604, 'elapsed_s': 85.41183728599935, 'a_bias': [0.00698128856766337, 0.008806766652204312, 0.0342695186403809], 'b_bias': [-0.036544406436407835, -0.04127326115959884, -0.043082100300788274]}, 'MCMC-comb': {'a_hat': [-0.03441071289766038, -0.025936062090843523, 0.08651918844505518], 'b_hat': [0.05497884465043039, 0.07797308771902853, 0.05983411646396132], 'sigma_hat': 0.5754563953436433, 'elapsed_s': 81.63782073900074, 'a_bias': [0.008422069318650346, 0.009277292957979438, 0.03328826988972031], 'b_bias': [0.018434438214022554, 0.03669982655942969, 0.016752016163173046]}}","[-0.042832782216310726, -0.03521335504882296, 0.05323091855533488]","[0.008422069318650346, 0.009277292957979438, 0.03328826988972031]","[0.036544406436407835, 0.04127326115959884, 0.043082100300788274]","[0.018434438214022554, 0.03669982655942969, 0.016752016163173046]"
5,262263,8064,"[0.18468128630401257, -0.027099586787747664, -0.030791343331412358]","[-0.07169539942730492, 0.05301610871096104, 0.07103125210807315]","[3.9315032150086825e-05, 3.637245936456705e-05, 3.896426212445028e-05]","[5.475891059875253e-05, 5.854095537683454e-05, 7.000525449013404e-05]",186.85071328944105,2.9233208868687643e-40,True,"{'OLS': {'a_hat': [0.18236285271444252, -0.02805050637281739, -0.032063160016141755], 'b_hat': [0.0, 0.0, 0.0], 'sigma_hat': None, 'elapsed_s': 0.0007059420004225103, 'a_bias': [-0.031801907372603605, 0.012590995265644167, 0.01916111289101198], 'b_bias': [0.08137727282478778, -0.06159794225754957, -0.11289722927208917]}, 'ElasticNet': {'a_hat': [0.18205604574132905, -0.027791365585574657, -0.03178564308104998], 'b_hat': [0.0, 0.0, 0.0], 'sigma_hat': None, 'elapsed_s': 0.2286379120014317, 'a_bias': [-0.032108714345717076, 0.012850136052886901, 0.019438629826103754], 'b_bias': [0.08137727282478778, -0.06159794225754957, -0.11289722927208917]}, 'ISD-1': {'a_hat': [0.17958175936492576, -0.029452745341357417, -0.02919937148782154], 'b_hat': [0.0, 0.0, 0.0], 'sigma_hat': None, 'elapsed_s': 0.005105699001433095, 'a_bias': [-0.034583000722120366, 0.011188756297104141, 0.022024901419332197], 'b_bias': [0.08137727282478778, -0.06159794225754957, -0.11289722927208917]}, 'ISD-3': {'a_hat': [0.19413439264684318, -0.04560087960560724, -0.04563557352503964], 'b_hat': [0.0, 0.0, 0.0], 'sigma_hat': None, 'elapsed_s': 0.06025011800011271, 'a_bias': [-0.02003036744020295, -0.004959377967145684, 0.005588699382114093], 'b_bias': [0.08137727282478778, -0.06159794225754957, -0.11289722927208917]}, 'MCMC-add': {'a_hat': [0.18221440758821267, -0.028172272381162784, -0.031921456743102136], 'b_hat': [0.0, 0.0, 0.0], 'sigma_hat': 0.5636218970593692, 'elapsed_s': 83.78254463800113, 'a_bias': [-0.03195035249883346, 0.012469229257298774, 0.0193028161640516], 'b_bias': [0.08137727282478778, -0.06159794225754957, -0.11289722927208917]}, 'MCMC-comb': {'a_hat': [0.18468128630401257, -0.027099586787747664, -0.030791343331412358], 'b_hat': [-0.07169539942730492, 0.05301610871096104, 0.07103125210807315], 'sigma_hat': 0.5617034985578074, 'elapsed_s': 87.46219005899911, 'a_bias': [-0.029483473783033565, 0.013541914850713894, 0.020432929575741377], 'b_bias': [0.00968187339748286, -0.008581833546588528, -0.04186597716401602]}}","[0.21416476008704613, -0.04064150163846156, -0.051224272907153735]","[-0.029483473783033565, 0.013541914850713894, 0.020432929575741377]","[-0.08137727282478778, 0.06159794225754957, 0.11289722927208917]","[0.00968187339748286, -0.008581833546588528, -0.04186597716401602]"
6,249583,8064,"[-0.005867633191777675, -0.08100623086522, -0.08167128784692192]","[0.06105589852125693, 0.06093805655222744, 0.019402466295326347]","[3.82271588772617e-05, 3.80479199690754e-05, 4.029395103155723e-05]","[5.8453017477396955e-05, 5.739484554346628e-05, 5.410818606885607e-05]",121.21947030307092,4.21494705982206e-26,True,"{'OLS': {'a_hat': [-0.006542000913569877, -0.08130146264064743, -0.08318118225130687], 'b_hat': [0.0, 0.0, 0.0], 'sigma_hat': None, 'elapsed_s': 0.0006775649999326561, 'a_bias': [0.004852744851917631, 0.0027141850556053754, -0.000733060682182915], 'b_bias': [-0.06505927878247011, -0.07432541712034423, -0.0543154268305195]}, 'ElasticNet': {'a_hat': [-0.002453888480322974, -0.07691174004064052, -0.07869997641266278], 'b_hat': [0.0, 0.0, 0.0], 'sigma_hat': None, 'elapsed_s': 0.23034628399909707, 'a_bias': [0.008940857285164534, 0.007103907655612279, 0.0037481451564611717], 'b_bias': [-0.06505927878247011, -0.07432541712034423, -0.0543154268305195]}, 'ISD-1': {'a_hat': [-0.007572175694297947, -0.08147503997661021, -0.08215021709729986], 'b_hat': [0.0, 0.0, 0.0], 'sigma_hat': None, 'elapsed_s': 0.0063613549991714535, 'a_bias': [0.003822570071189561, 0.002540607719642596, 0.0002979044718240953], 'b_bias': [-0.06505927878247011, -0.07432541712034423, -0.0543154268305195]}, 'ISD-3': {'a_hat': [-0.003498045812074898, -0.08657855041181355, -0.0646618306724454], 'b_hat': [0.0, 0.0, 0.0], 'sigma_hat': None, 'elapsed_s': 0.018865529000322567, 'a_bias': [0.00789669995341261, -0.0025629027155607415, 0.01778629089667856], 'b_bias': [-0.06505927878247011, -0.07432541712034423, -0.0543154268305195]}, 'MCMC-add': {'a_hat': [-0.006459385047361692, -0.08130379664842521, -0.08305741126763355], 'b_hat': [0.0, 0.0, 0.0], 'sigma_hat': 0.5625342717079134, 'elapsed_s': 81.94441123400065, 'a_bias': [0.004935360718125816, 0.0027118510478275903, -0.0006092896985095964], 'b_bias': [-0.06505927878247011, -0.07432541712034423, -0.0543154268305195]}, 'MCMC-comb': {'a_hat': [-0.005867633191777675, -0.08100623086522, -0.08167128784692192], 'b_hat': [0.06105589852125693, 0.06093805655222744, 0.019402466295326347], 'sigma_hat': 0.5609018694570758, 'elapsed_s': 78.47957976299949, 'a_bias': [0.005527112573709833, 0.003009416831032799, 0.0007768337222020388], 'b_bias': [-0.004003380261213184, -0.013387360568116784, -0.034912960535193154]}}","[-0.011394745765487508, -0.0840156476962528, -0.08244812156912396]","[0.005527112573709833, 0.003009416831032799, 0.0007768337222020388]","[0.06505927878247011, 0.07432541712034423, 0.0543154268305195]","[-0.004003380261213184, -0.013387360568116784, -0.034912960535193154]"
7,246805,8064,"[-0.0677152628621508, 0.029073715383134465, -0.05911951049570807]","[0.013370150541023298, 0.08309371204340932, -0.03391714551553945]","[3.8038337639724045e-05, 3.865836843681318e-05, 4.094454152943064e-05]","[6.265649694497011e-05, 6.0984861695472765e-05, 6.648654748814718e-05]",131.20952101516195,2.96763277421731e-28,True,"{'OLS': {'a_hat': [-0.06787272032858946, 0.03014569434976226, -0.0602249491189638], 'b_hat': [0.0, 0.0, 0.0], 'sigma_hat': None, 'elapsed_s': 0.0004673450002883328, 'a_bias': [-0.0013217495997200207, 0.0069295620430902816, -0.07189353003303661], 'b_bias': [-0.021868859672901295, -0.087142877794819, -0.022359554877468227]}, 'ElasticNet': {'a_hat': [-0.0678006603518249, 0.030078285978091524, -0.060153001954761934], 'b_hat': [0.0, 0.0, 0.0], 'sigma_hat': None, 'elapsed_s': 0.13215270200089435, 'a_bias': [-0.0012496896229554633, 0.006862153671419544, -0.07182158286883475], 'b_bias': [-0.021868859672901295, -0.087142877794819, -0.022359554877468227]}, 'ISD-1': {'a_hat': [-0.06750367703634072, 0.02984666951681185, -0.05907333357355749], 'b_hat': [0.0, 0.0, 0.0], 'sigma_hat': None, 'elapsed_s': 0.0012269180006114766, 'a_bias': [-0.0009527063074712822, 0.00663053721013987, -0.07074191448763031], 'b_bias': [-0.021868859672901295, -0.087142877794819, -0.022359554877468227]}, 'ISD-3': {'a_hat': [-0.07143111611514362, 0.02519265357916049, -0.04311118766661615], 'b_hat': [0.0, 0.0, 0.0], 'sigma_hat': None, 'elapsed_s': 0.047519165000267094, 'a_bias': [-0.004880145386274182, 0.0019765212724885094, -0.054779768580688976], 'b_bias': [-0.021868859672901295, -0.087142877794819, -0.022359554877468227]}, 'MCMC-add': {'a_hat': [-0.06773414315576146, 0.029983404442654966, -0.0601728772400214], 'b_hat': [0.0, 0.0, 0.0], 'sigma_hat': 0.5671161655486445, 'elapsed_s': 53.76544535499852, 'a_bias': [-0.001183172426892018, 0.0067672721359829865, -0.07184145815409422], 'b_bias': [-0.021868859672901295, -0.087142877794819, -0.022359554877468227]}, 'MCMC-comb': {'a_hat': [-0.0677152628621508, 0.029073715383134465, -0.05911951049570807], 'b_hat': [0.013370150541023298, 0.08309371204340932, -0.03391714551553945], 'sigma_hat': 0.5642485534611956, 'elapsed_s': 74.28316471499966, 'a_bias': [-0.0011642921332813555, 0.005857583076462485, -0.0707880914097809], 'b_bias': [-0.008498709131877996, -0.004049165751409678, -0.056276700393007674]}}","[-0.06655097072886944, 0.02321613230667198, 0.011668580914072822]","[-0.0011642921332813555, 0.005857583076462485, -0.0707880914097809]","[0.021868859672901295, 0.087142877794819, 0.022359554877468227]","[-0.008498709131877996, -0.004049165751409678, -0.056276700393007674]"
8,245481,8064,"[0.06154517554450489, -0.0011984917478313091, -0.05126004224514233]","[0.0504782468667268, -0.1444054777961922, -0.1353005560160268]","[4.159962131362326e-05, 3.653976993725651e-05, 4.009391753152798e-05]","[5.793142674858102e-05, 4.632517381788628e-05, 4.2150924542093384e-05]",773.0385768765464,3.043737835228622e-167,True,"{'OLS': {'a_hat': [0.0634903369127614, -0.0028618076163942838, -0.07379621759195142], 'b_hat': [0.0, 0.0, 0.0], 'sigma_hat': None, 'elapsed_s': 0.0005434519989648834, 'a_bias': [-0.004401019394428093, -0.00961971456528343, -0.10270815746094983], 'b_bias': [-0.06312882258385404, 0.14571558198556664, 0.031967121635730136]}, 'ElasticNet': {'a_hat': [0.056314741265699665, -0.0, -0.06640714631384899], 'b_hat': [0.0, 0.0, 0.0], 'sigma_hat': None, 'elapsed_s': 0.1925076210009138, 'a_bias': [-0.01157661504148983, -0.006757906948889146, -0.0953190861828474], 'b_bias': [-0.06312882258385404, 0.14571558198556664, 0.031967121635730136]}, 'ISD-1': {'a_hat': [0.06338254060330482, -0.0016909969670014652, -0.06953220740895248], 'b_hat': [0.0, 0.0, 0.0], 'sigma_hat': None, 'elapsed_s': 0.0016552149991184706, 'a_bias': [-0.004508815703884672, -0.00844890391589061, -0.0984441472779509], 'b_bias': [-0.06312882258385404, 0.14571558198556664, 0.031967121635730136]}, 'ISD-3': {'a_hat': [0.07099282834729352, 0.0020207777185214586, -0.07717693070715755], 'b_hat': [0.0, 0.0, 0.0], 'sigma_hat': None, 'elapsed_s': 0.040423834001558134, 'a_bias': [0.0031014720401040252, -0.004737129230367688, -0.10608887057615596], 'b_bias': [-0.06312882258385404, 0.14571558198556664, 0.031967121635730136]}, 'MCMC-add': {'a_hat': [0.06326003991876783, -0.0028458511183134054, -0.07393555920633409], 'b_hat': [0.0, 0.0, 0.0], 'sigma_hat': 0.6346584680040458, 'elapsed_s': 44.1314685189991, 'a_bias': [-0.004631316388421666, -0.009603758067202551, -0.1028474990753325], 'b_bias': [-0.06312882258385404, 0.14571558198556664, 0.031967121635730136]}, 'MCMC-comb': {'a_hat': [0.06154517554450489, -0.0011984917478313091, -0.05126004224514233], 'b_hat': [0.0504782468667268, -0.1444054777961922, -0.1353005560160268], 'sigma_hat': 0.6176696826299257, 'elapsed_s': 44.51248640999984, 'a_bias': [-0.006346180762684603, -0.007956398696720456, -0.08017198211414074], 'b_bias': [-0.012650575717127237, 0.0013101041893744392, -0.10333343438029667]}}","[0.0678913563071895, 0.006757906948889146, 0.028911939868998416]","[-0.006346180762684603, -0.007956398696720456, -0.08017198211414074]","[0.06312882258385404, -0.14571558198556664, -0.031967121635730136]","[-0.012650575717127237, 0.0013101041893744392, -0.10333343438029667]"
9,233155,8064,"[-0.06580540966665349, -0.05823637241454176, -0.03312438890359636]","[0.11735433422418973, -0.07505673238405691, 0.07433017321943744]","[3.7375213775459764e-05, 3.671458937928974e-05, 3.957178843757829e-05]","[5.4565665096806084e-05, 5.341829218049215e-05, 6.369136715476384e-05]",413.6140388752701,2.489640007040418e-89,True,"{'OLS': {'a_hat': [-0.06729884595661079, -0.060429228545946095, -0.032570264195083735], 'b_hat': [0.0, 0.0, 0.0], 'sigma_hat': None, 'elapsed_s': 0.00045136399967304897, 'a_bias': [-0.020261580527331235, 0.0034585562783881058, -0.00505603907241536], 'b_bias': [-0.1494941311234396, 0.08658311156932433, -0.09682783545914808]}, 'ElasticNet': {'a_hat': [-0.06641943224701297, -0.05955641580713871, -0.03170522308249696], 'b_hat': [0.0, 0.0, 0.0], 'sigma_hat': None, 'elapsed_s': 0.13662412200028484, 'a_bias': [-0.019382166817733415, 0.00433136901719549, -0.004190997959828583], 'b_bias': [-0.1494941311234396, 0.08658311156932433, -0.09682783545914808]}, 'ISD-1': {'a_hat': [-0.06747131468997121, -0.06007885180998658, -0.033503338495424737], 'b_hat': [0.0, 0.0, 0.0], 'sigma_hat': None, 'elapsed_s': 0.0011233440000069095, 'a_bias': [-0.02043404926069166, 0.0038089330143476208, -0.005989113372756361], 'b_bias': [-0.1494941311234396, 0.08658311156932433, -0.09682783545914808]}, 'ISD-3': {'a_hat': [-0.055028576078403744, -0.055604740294208053, -0.022202806860994472], 'b_hat': [0.0, 0.0, 0.0], 'sigma_hat': None, 'elapsed_s': 0.013030561000050511, 'a_bias': [-0.007991310649124193, 0.008283044530126148, 0.005311418261673903], 'b_bias': [-0.1494941311234396, 0.08658311156932433, -0.09682783545914808]}, 'MCMC-add': {'a_hat': [-0.06738476895607638, -0.05986719873424421, -0.03255348781739924], 'b_hat': [0.0, 0.0, 0.0], 'sigma_hat': 0.5842702717979815, 'elapsed_s': 41.983768713000245, 'a_bias': [-0.02034750352679683, 0.004020586090089991, -0.005039262694730862], 'b_bias': [-0.1494941311234396, 0.08658311156932433, -0.09682783545914808]}, 'MCMC-comb': {'a_hat': [-0.06580540966665349, -0.05823637241454176, -0.03312438890359636], 'b_hat': [0.11735433422418973, -0.07505673238405691, 0.07433017321943744], 'sigma_hat': 0.5763113422575119, 'elapsed_s': 71.79487457000141, 'a_bias': [-0.01876814423737394, 0.0056514124097924445, -0.005610163780927987], 'b_bias': [-0.03213979689924987, 0.011526379185267416, -0.022497662239710642]}}","[-0.04703726542927955, -0.0638877848243342, -0.027514225122668375]","[-0.01876814423737394, 0.0056514124097924445, -0.005610163780927987]","[0.1494941311234396, -0.08658311156932433, 0.09682783545914808]","[-0.03213979689924987, 0.011526379185267416, -0.022497662239710642]"
