k,mode,mock_id,n_galaxies,lrt_lambda,lrt_reject,lrt_correct,snr_a,snr_b,a_true,b_true,a_hat,b_hat,tp,fp
1,additive,0,226398,49.21742417358291,True,False,"[22.199832702227592, 0.9451045263882272, 0.4524792499821705, 1.6385617448391794, 0.3143329433783069]","[3.1953531437871083, 1.2057590431765295, 1.5001791101943636, 0.5864060967262854, 0.029690869194611925]","[-0.1655007673598298, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[-0.18312021152777488, 0.0060766197476738735, -0.0030634603772542873, -0.014513418938868788, -0.0021136329025409142]","[-0.04141369737414066, 0.011971620911768817, 0.02308612638431583, -0.006918936031467605, 0.0002626764197535027]",1.0,0.0
1,additive,1,245476,9.181244775250889,False,True,"[5.37888626014595, 1.087650765497311, 0.656176755109242, 0.13482020051478216, 0.3434951052293996]","[1.5146087411721652, 1.9161442087406457, 1.1065207167583953, 0.8316123177846735, 0.02746888187159677]","[0.037779833953523675, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.03127336374377149, -0.006211469834536169, -0.0039470358521358755, -0.000801219889068611, -0.0019921180141411364]","[-0.012152581583979428, -0.015144807812255417, -0.008756044457767571, -0.006318021212430041, 0.00021275326269405313]",1.0,0.0
1,additive,2,235024,45.70260555776258,True,False,"[17.527672621610435, 0.04696579614277781, 0.05603151411221656, 0.03525700361219176, 0.9281442224407181]","[0.8251125873990406, 1.1499646983358316, 2.651871482526984, 4.421819364420194, 2.1802748822820326]","[-0.15352977646089802, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[-0.14924802796210954, -0.0003066258112347207, -0.0003518213958882688, 0.00021580548503895985, 0.005685003226448782]","[0.0074256038873658494, -0.011019163105294794, -0.03345969433044324, -0.03857938953695205, 0.023652569183996136]",1.0,0.0
1,additive,3,242470,28.883454835551674,True,False,"[6.32702240191103, 1.5411527198130248, 0.5047548274838797, 3.3171831400457683, 0.11234434345082335]","[2.473199075542318, 1.2749800676001493, 2.8981150374072047, 1.1931253812362228, 0.916205254572033]","[0.04418021459930365, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.037518602258898054, 0.008789895999683675, -0.0028792540753016602, -0.01871818541663877, 0.0006541384264311078]","[-0.020245589700887058, 0.009999359011503514, -0.025831558715010933, -0.00913338063990335, 0.007521672112330075]",1.0,0.25
1,additive,4,248594,3.4996864256954723,False,True,"[7.842316443795924, 0.05964109882195625, 1.3890019492880183, 3.5813196270264043, 0.5100147712870537]","[0.9478035792695143, 0.29887104509997536, 1.2450811949420846, 1.1546409940978353, 0.05938261215981743]","[-0.04956708246551158, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[-0.05029378914001798, -0.00035221828418935733, 0.008668698002719456, -0.021348837227924158, -0.0030986331054439187]","[-0.007547830097325601, 0.0025167269614088626, 0.010991545609012582, -0.00956834946819393, 0.00044422949392805084]",1.0,0.25
1,additive,5,244022,30.034442063732058,True,False,"[11.32299710353034, 1.3909417350653717, 3.620289165782791, 1.5489586829357058, 1.1901228546238791]","[0.47644696668913344, 2.076605032768511, 1.2810045168515027, 3.508631048890732, 1.396513700438743]","[0.08679199704532214, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.08191226329283022, 0.009360799952739328, -0.024872298812792515, -0.010193301305636868, 0.008043618519690975]","[0.0039173029536184395, 0.017469074190213586, -0.01194764971109686, 0.03089143670499613, 0.012892730965012478]",1.0,0.25
1,additive,6,251614,-4.177849493207759,False,True,"[28.978408770411036, 0.6712026764118416, 0.8442643589859635, 2.1557993018042634, 0.4364174422695478]","[1.3099079664008473, 1.8136722506658587, 1.5435410892374033, 0.3386634794057584, 0.1927215468728464]","[0.2960642689164259, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.2835853603838735, 0.004342548577482595, 0.00669771806071158, 0.014570435500979716, 0.002892704663864912]","[0.013166211385131604, -0.019244553319154603, 0.014937413883753786, -0.005017202047665616, -0.0023333706680026163]",1.0,0.25
1,additive,7,243786,50.49544941997374,True,False,"[13.588047772004908, 0.34070118419474976, 2.608044492293731, 4.199836115765328, 0.4493582996173776]","[0.5779680089293066, 0.08922851492147597, 2.26395385569469, 5.5637816172211965, 1.9922910211969937]","[-0.09901240006555082, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[-0.09946079104311055, -0.002110772599973767, 0.015307879818060303, -0.026408233281077442, -0.0025870407427357293]","[0.0049785061477914255, -0.0007107245379207183, 0.021635381267586542, -0.04792942554162395, 0.01713908264255253]",1.0,0.5
1,additive,8,236820,165.5218793806016,True,False,"[4.854920215526422, 0.26374584731306877, 8.391986801166805, 2.8533083888074677, 1.9965617633414086]","[1.8236502586980448, 1.7206066668332456, 5.575638147196814, 1.7974174777391343, 3.4209816165188984]","[-0.03304269794611896, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[-0.03135292681374335, -0.001639096842936161, 0.05266795189629335, 0.017418878724724262, 0.011639652273137372]","[0.01503217182161182, 0.014410050690626989, 0.07097531364849993, 0.026576481601084372, 0.04751632093666883]",1.0,0.5
1,additive,9,240883,65.28550001154326,True,False,"[3.0455114990415013, 1.7626414262644337, 4.698112831655259, 4.88157614848553, 0.20738640569642847]","[0.7576807229688429, 1.5493844934065524, 3.3851240155149283, 4.628119873396905, 1.55725021700832]","[0.02697586815480386, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.01770147900237221, -0.01044624349118527, 0.027908104621677098, 0.02977172029246808, 0.001209657189779013]","[-0.0061382974450315845, -0.011958336619588197, 0.030690429501335395, 0.04625799954604531, -0.012026508235534535]",1.0,0.5
1,multiplicative,0,226641,475.6573558079017,True,True,"[0.7344371889238838, 1.422072365646876, 0.06434121032749843, 2.3764867968341057, 0.18333560912906746]","[9.471637170986053, 1.982160920459542, 3.7095570854046667, 0.3661852067039577, 0.9306345752765295]","[0.0, 0.0, 0.0, 0.0, 0.0]","[-0.1655007673598298, 0.0, 0.0, 0.0, 0.0]","[0.004742373121604834, 0.008866307529970002, -0.00041322416536965396, -0.014936037884640506, 0.0011416374617490446]","[-0.15852782658797437, 0.01617313784787407, 0.02816774270661098, -0.0035335556422923936, 0.010295971629555164]",1.0,0.25
1,multiplicative,1,245336,17.870037058815797,True,True,"[0.16872266264010416, 0.4700144668685507, 0.9996005182898554, 0.20168234894704165, 0.050805181022007005]","[2.3698494990439456, 1.5582075158238482, 0.8633130206952939, 1.3658120219891328, 2.185817165183953]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.037779833953523675, 0.0, 0.0, 0.0, 0.0]","[-0.0010133088035902899, -0.002807244313485044, -0.005796217160147691, 0.0011449966708560846, 0.00028588094187836075]","[0.02008324221147626, -0.012815044968000781, -0.006675408608391784, -0.010566067740887797, 0.016362520765719153]",1.0,0.25
1,multiplicative,2,235595,301.2676809924051,True,True,"[0.8239797537769973, 1.2964820745840415, 0.4934054574994695, 0.8195550553573173, 0.7761816400188094]","[6.028269117638323, 0.5820388594595508, 2.9984718616285138, 1.665719948740673, 1.481789557211754]","[0.0, 0.0, 0.0, 0.0, 0.0]","[-0.15352977646089802, 0.0, 0.0, 0.0, 0.0]","[0.005317409242524565, -0.007986408792851767, 0.0030862736676847444, -0.004939522506455598, 0.004773779251579048]","[-0.11468865458791475, -0.0071530613663613974, -0.037887609955834414, -0.01877712336938602, 0.016119255662759086]",1.0,0.25
1,multiplicative,3,242399,36.171647554006995,True,True,"[1.007309915643266, 2.16235166261157, 0.2585231599081869, 3.264140198034176, 0.7922371069872737]","[1.7903851716120087, 2.3562911080819755, 2.8519607265696347, 1.7392851095926867, 2.053896138896603]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.04418021459930365, 0.0, 0.0, 0.0, 0.0]","[-0.005682793092628183, 0.012356153589639254, -0.0014897579869040736, -0.018536852248077988, 0.004439822321322502]","[0.015040800025219642, 0.02027626169606437, -0.02566209156230767, -0.014679607055028545, 0.015623333812616014]",0.0,0.75
1,multiplicative,4,247515,26.45403420002185,True,True,"[0.14668428039412226, 0.47497704219845605, 1.0690618168496147, 3.3754524741582728, 0.15455644963012893]","[4.259360721550449, 1.5462947635850102, 1.630405451814458, 0.1449025680142975, 0.1973869639242917]","[0.0, 0.0, 0.0, 0.0, 0.0]","[-0.04956708246551158, 0.0, 0.0, 0.0, 0.0]","[0.0008944582724247033, -0.0027530298066188175, 0.006767852012720779, -0.02064320313209295, -0.0009072183753180661]","[-0.03469594129503009, -0.012232387177562287, 0.014067855708854094, 0.0012030408150108859, -0.0014053746724459594]",1.0,0.0
1,multiplicative,5,244187,121.44320203093048,True,True,"[0.6897478984575022, 0.6767863913489586, 3.263839108680787, 0.9587963784675657, 0.727255233300663]","[5.160042951576686, 0.6160548578842813, 0.19410421562053576, 3.570202695321634, 2.909754156789443]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.08679199704532214, 0.0, 0.0, 0.0, 0.0]","[-0.004652413749548085, 0.004712311229689012, -0.022530066753426226, -0.006415728493251086, 0.005019631694500176]","[0.06925507459682406, 0.00513459588189852, 0.0019002019491852137, 0.03559400395115034, 0.024663534467592927]",1.0,0.5
1,multiplicative,6,250966,969.9257245384815,True,True,"[2.3728003524260988, 1.184125641318732, 1.2115237485468302, 1.6501026960909917, 0.28536495730159145]","[5.860819321806483, 1.028509210993993, 0.833955582342878, 0.11396301628555479, 0.5811560255116605]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.2960642689164259, 0.0, 0.0, 0.0, 0.0]","[0.015071875828194132, 0.007166560018857485, 0.007573163600943295, 0.01001693105786509, -0.0017870330341991322]","[0.22399692455069273, -0.010478214801609393, 0.013309455404232909, 0.0012031934547238887, 0.007070795717925264]",1.0,0.0
1,multiplicative,7,244818,156.92210744969088,True,True,"[0.40217220019629557, 0.5918269639196095, 2.91816283784011, 4.240510688415584, 0.2876255017134168]","[5.057373030488849, 0.6166340991007527, 2.87745043996862, 4.900415095790288, 1.1967461395375822]","[0.0, 0.0, 0.0, 0.0, 0.0]","[-0.09901240006555082, 0.0, 0.0, 0.0, 0.0]","[-0.0024996500522316573, -0.0035817629776209174, 0.01751223062005788, -0.02649050861970954, -0.0017712617906770005]","[-0.07248412239520316, -0.004480934011614356, 0.025102995048939588, -0.046263903616773946, 0.009950465624453378]",1.0,0.5
1,multiplicative,8,237681,180.61458106727878,True,True,"[0.6247330666688026, 0.16301955085450623, 8.222700235361536, 3.200673959162889, 1.4105027694096735]","[1.0747395632830778, 0.5093617209300286, 7.101783366972061, 2.1019355347879234, 4.700888628338646]","[0.0, 0.0, 0.0, 0.0, 0.0]","[-0.03304269794611896, 0.0, 0.0, 0.0, 0.0]","[0.0038823061885762174, -0.0009995729286622133, 0.05313744249358793, 0.020428255684700667, 0.008719823580117301]","[-0.008990259086813022, 0.005703352085719509, 0.08042305848252325, 0.023409801772847887, 0.050613666071513096]",0.0,0.75
