k,mode,mock_id,n_galaxies,lrt_lambda,lrt_reject,lrt_correct,snr_a,snr_b,a_true,b_true,a_hat,b_hat,tp,fp
1,additive,0,226398,63.61970814968663,True,False,"[28.747927255087646, 0.8908277302818189, 0.2793832003724145, 2.670101800426863]","[6.274843531097668, 1.5790514547387857, 4.278810084710292, 1.7565109661480605]","[-0.1655007673598298, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[-0.18471553336244104, 0.0055944694055144375, -0.0017023452736364695, -0.016747002280009818]","[-0.050982943493089225, 0.012347817911617263, 0.03373043464383118, -0.014313019139925626]",1.0,0.3333333333333333
1,additive,1,245476,9.592070620810773,True,False,"[5.477108868515449, 1.1829254789821344, 0.4954692731775212, 0.14480024774905179]","[1.7031274952012323, 1.9652630083806115, 1.2937999513246778, 1.0611769023049227]","[0.037779833953523675, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.03205615433266217, -0.006893521463340262, -0.0030097776835556122, -0.0008292749178918935]","[-0.014053218420227302, -0.016220153614044202, -0.01030789573281212, -0.00839740328806226]",1.0,0.0
1,additive,2,235024,38.905911396986994,True,False,"[24.540421043673504, 0.11638377104083289, 0.14176003653381383, 0.07318250205755274]","[0.6873193668715513, 1.6936289776027231, 4.825729671711638, 3.8630717133861925]","[-0.15352977646089802, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[-0.1513868844866853, -0.0007000750473812219, -0.0008563599533949547, 0.00043624958059900815]","[0.0054664392810572565, -0.0131794960238675, -0.03813775180489635, -0.02929919806098331]",1.0,0.0
1,additive,3,242470,27.79863370066232,True,False,"[6.580915852614625, 1.56029385980687, 0.5436057545533508, 3.357825488408232]","[2.815645761722347, 1.3159764044501323, 3.64749232597942, 1.2448039439588283]","[0.04418021459930365, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.038381655182077895, 0.008879674498675138, -0.0031198108932031054, -0.019055984869948146]","[-0.02138351824508042, 0.011081987524646893, -0.03010205891411507, -0.009925008771372363]",1.0,0.3333333333333333
1,additive,4,248594,4.3110968497258,False,True,"[8.26666665592574, 0.006641989944738914, 1.4922123981861743, 3.707195877582283]","[0.7612099274230213, 0.20089637277097713, 1.4688875249732654, 1.251156106327613]","[-0.04956708246551158, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[-0.051489981099440564, -3.973180055333493e-05, 0.009059184968683418, -0.022076959278973525]","[-0.006115112746852225, 0.00165823580720507, 0.012703284187623386, -0.010026022671607097]",1.0,0.3333333333333333
1,multiplicative,0,226641,479.75557425408624,True,True,"[0.6943939900650338, 1.3104167115721175, 0.07568756710693102, 2.3026008695061875]","[23.95052446369017, 1.490431712674401, 4.159819116640331, 0.11966717939421322]","[0.0, 0.0, 0.0, 0.0]","[-0.1655007673598298, 0.0, 0.0, 0.0]","[0.004496687068791534, 0.008325305091688526, -0.0005005004215812728, -0.014150036829317402]","[-0.1668330688722686, 0.011703535005419572, 0.03005649576138301, 0.0008940469856133207]",1.0,0.3333333333333333
1,multiplicative,1,245336,12.141483255601997,True,True,"[0.2751122735834831, 0.5731889565033158, 0.9567641826340337, 0.2472709668210528]","[2.384327620098702, 1.5438074764227183, 0.8032914320510814, 1.6689277128748035]","[0.0, 0.0, 0.0, 0.0]","[0.037779833953523675, 0.0, 0.0, 0.0]","[-0.0015899295848353495, -0.0033969264956034313, -0.005841850606215585, 0.001422778790646876]","[0.019816572863678186, -0.012363235820256752, -0.006445033303774668, -0.0127795886752101]",1.0,0.0
1,multiplicative,2,235595,295.4025506725593,True,True,"[0.7838243775746452, 1.3293943445650653, 0.5628648950054406, 0.8722346572728258]","[16.66121580944249, 1.6821678932366357, 5.1231328006192305, 3.4347823933843795]","[0.0, 0.0, 0.0, 0.0]","[-0.15352977646089802, 0.0, 0.0, 0.0]","[0.004846632136097447, -0.008342917686400561, 0.0034849692181528696, -0.005214988615251305]","[-0.12156967745136507, -0.012959564132657425, -0.04189146772400075, -0.024772899434266974]",1.0,0.6666666666666666
1,multiplicative,3,242399,30.852365710776212,True,True,"[1.0985375075087411, 2.1047949245892803, 0.29236138967620157, 3.3466502954488337]","[2.0086152842937346, 2.9008599035859555, 3.9017943039092993, 1.9077396045612938]","[0.0, 0.0, 0.0, 0.0]","[0.04418021459930365, 0.0, 0.0, 0.0]","[-0.006229845542356003, 0.012019331053723593, -0.001680355494135959, -0.019094674554371475]","[0.015811452021641696, 0.023555077244316214, -0.031564075075621825, -0.015202904097206059]",1.0,0.6666666666666666
1,multiplicative,4,247515,26.520714784121083,True,True,"[0.15998952937798133, 0.4972205567281144, 1.071459581901729, 3.660381497518541]","[4.476288976453354, 1.609724323746175, 1.7031720310333927, 0.33294807692480477]","[0.0, 0.0, 0.0, 0.0]","[-0.04956708246551158, 0.0, 0.0, 0.0]","[0.0009783081472058567, -0.0029662419047751265, 0.006534824450093632, -0.021590321797961765]","[-0.036334197857840825, -0.012969819669479936, 0.01442615254326321, 0.0027334822201565395]",1.0,0.0
